元ネタURL,使用日,テーマ
https://x.com/t_r1ng0/status/2095489402722263336,2026-09-05,引用:マンションの上部が階段状に削れている理由を問うバズへのボケ回答(@t_r1ng0 316,336いいね/2026-09-03 21:29 JST投稿・引用元は@twf003 11,595いいね。本文は「将来的に巨大すべり台を設置するため」というボケのみで実際の理由には一切触れていない)→足した一次情報は建築基準法(e-Gov法令検索 325AC0000000201 原文で確認)。第56条の2第1項「冬至日の真太陽時による午前八時から午後四時まで(道の区域内にあつては、午前九時から午後三時まで)」＝日影規制の測定は冬至日の8〜16時、北海道のみ9〜15時。別表第四で敷地境界線から10m以内/10m超の範囲ごとに日影時間の上限(3時間/2時間など、道の区域内は各々短縮)を規定し、平均地盤面からの高さ1.5m(低層)・4mまたは6.5m(中高層等)の水平面で測る。あわせて第56条1項3号(北側斜線)は「隣地境界線までの真北方向の水平距離に一・二五を乗じて」＝磁北ではなく真北基準であることも原文で確認済み(本文には字数の都合で不使用)。公開ポスト https://x.com/gude_aiai/status/2096036932685840765
https://x.com/tintinpapa1/status/2095670499066220798,2026-09-05,関空の建築を引き合いに宮大工の技術を称える投稿(@tintinpapa1 約34,044いいね/2026-09-04 09:29 JST・「なぜ日本人の叡智を関空建築に使えなかったのか」という問いかけのみで沈下の実態・設計思想には一切触れていない)→足した一次情報は関西エアポート公式。(1)1期島の沈下は埋立開始からの累計で17計測点の平均13.61m(2023年12月時点)・年間沈下速度は1990年代初頭の約0.39m/年から2023年には約0.06m/年まで減速(関西エアポート サステナビリティ 海上空港としての技術(3)「計測点の沈下量(1期島)」)。(2)←今回の核心: 第1ターミナルビルの基礎には900本の柱があり、各柱の沈下量が自動計測されていて、不同沈下が出た柱をジャッキで持ち上げ隙間に鉄板を差し込んで高さを揃える。実施は数年に1回(関西エアポート「不同沈下対策-ジャッキアップ」/関西国際空港 産業・技術ページ)。(3)関西国際空港公式サイトは「そもそも沈下することを予測して作られているのです」と明記＝沈下は失敗ではなく設計の前提(kansai-airport.or.jp/sdgs/2)。※未使用の種: 2期島の累計沈下は1期島より大きく年間沈下速度も速い/ジャッキ1台の能力は300トン超・調整用鉄板の厚さは6mmや16mm(いずれも二次情報のため本文不使用)/台風21号後にA滑走路を最大約50cm嵩上げ。公開ポスト https://x.com/gude_aiai/status/2096086353595314604
https://x.com/bekibaki/status/2095749633276617116,2026-09-05,引用:「犬が他者と仲よくする原因の遺伝子はもう判明している」という伝聞に感動したバズ(@bekibaki 93,860いいね/2026-09-04 14:43 JST投稿・本文は「本当か知らんけど」と留保付きで遺伝子名・染色体・研究名に一切触れていない)→足した一次情報は vonHoldt et al., Science Advances 2017 (PMID 28776031 / PMC5517105)。(1)イヌ第6染色体の5Mb領域が家畜化で正の選択を受けており、その中の GTF2I と GTF2IRD1 の構造変異が極端な社会性(hypersociability)と関連。ヒトでは同領域の欠失がウィリアムズ・ボイレン症候群(WBS)にあたる。(2)変異の実体は SINE/LINE(レトロトランスポゾン)の挿入。GTF2I の Cfa6.66 は ABS p=2.33e-4 / SIS p=1.67e-3 で複数の社会性指標と有意に関連。(3)パズルボックス課題では人が同席する条件でオオカミ10頭中8頭が成功、イヌは18頭中2頭のみ。イヌは箱を見ている時間・解こうとしている時間の割合がオオカミより有意に短い(本文に採用したのはこの(3)と(1)の遺伝子名のみ)。※WBS(ヒトの疾患)への言及は、人を犬になぞらえる形になるため本文では意図的に外した
https://x.com/fujisobar/status/2096116875445084641,2026-09-05,「名代」の読み方バズ(@fujisobar 名代富士そば公式 約11,432いいね/2026-09-05 15:03 JST・「なだいをめいだいと読んでいた人はいいね」までで他の読みが実在する語であることには一切触れず。同アカ2026-08-19の投稿も「めいだいでもみょうだいでもない」と誤読として並べるのみ)→足した一次情報は精選版日本国語大辞典(kotobank)。(1)「みょうだい」は誤読ではなく実在の別語で語釈は「人の代わりに立つこと、代理を務めること、またその人」・用例は虎明本狂言『乳切木』・文献初出は『中右記』長治二年(1105)8月13日条。(2)←今回の核心: 一方「なだい」(名前が知られていること・評判が高いこと/興行権の名義人)の初出は浮世草子『好色二代男』(1684)で、代理の「みょうだい」のほうが約580年(579年)古い。(3)第三の読み「なしろ」も実在し大化改新以前の皇族の私有部民を指す・諸国の国造の民を割いて設け皇族名を付した・御名代(みなしろ)ともいい646年(大化2年)改新の詔で廃止(デジタル大辞泉/Wikipedia 名代)・辞書上の初出は『書言字考節用集』(1717)。※未使用の種: 「なだい」には江戸歌舞伎で奉行所から興行権の許可を得た名義人の語義もあり夏目漱石『草枕』に用例/名代富士そばの屋号は創業者丹道夫が「富士山の様に立派で有名な立ち食いそば店にしたい」との思いで1972年頃から使用(公式X)/名代・子代は連称されるが関係に不明点が多く「名代」の語は『古事記』のみに見える
https://x.com/yuana_nurse/status/2095884841057218752,2026-09-06,看護師による「公園で転んで抜けた前歯を母親が水道水でごしごし洗いティッシュに包んで持参→戻せなかった」体験談バズ(@yuana_nurse 約22,498いいね/2026-09-04 23:41 JST投稿)。元投稿は「歯根膜という組織がついている/生きていれば戻せる/水で洗うと死ぬ」までで、乾燥時間の閾値・代替保存媒体・専用保存液には一切触れていない。→足した一次情報は(1)StatPearls(NCBI Bookshelf NBK539876 "Avulsed Tooth"): 口腔外乾燥時間が30分未満なら多くの歯は再植可能、歯根膜細胞は30〜60分で不可逆的に損傷、60分超では残存歯根膜が炎症刺激源になるため除去、90分超ではフッ化物浸漬が吸収率を下げうる。同書は牛乳を最も推奨される保存媒体とし理由を「入手性・適切なpH・正常な浸透圧・豊富な栄養と成長因子」と明記、飲料水は"can damage the PDL due to its low osmolality"＝低浸透圧が損傷原因と記述(元ネタの「水で死ぬ」の機序はこれ)。(2)クインテッセンス出版 歯科事典「歯の保存液」: 脱落歯保存用に開発されたティースキーパー「ネオ」(ネオ製薬工業)は塩化カリウム・塩化マグネシウム・塩化カルシウム・硫酸マグネシウム等の無機塩類＋浸透圧調整剤＋糖類で構成され24時間以上の歯根膜組織保存能を有し、溶液自体の保存期間は2年、学校などへの常備が推奨される。←動画のbarsで使った核心は「乾いたまま30分 vs 保存液24時間」。※未使用の種: 再植歯の長期生存率を20%とする研究がある一方で高成功率とする研究もあり数値が割れるため不使用/8020推進財団は卵白・牛乳・生理食塩水・専用保存液を挙げるが数値記載なし。公開ポスト https://x.com/gude_aiai/status/2096346022834278462
https://x.com/ta__ma__ko/status/2096075474212728929,2026-09-06,引用:キッチンスポンジをレンジでチンしても「めちゃ強菌」だけ生き残りコロニー化するのでスポンジは定期交換を、というNHK番組の実験の伝聞バズ(@ta__ma__ko 28,564いいね/2026-09-05 03:18 UTC投稿・それ自体が引用ポスト)→足した一次情報:Cardinale et al. 2017 Scientific Reports 7:5791 (DOI:10.1038/s41598-017-06055-9)。使用済みスポンジ14個/28サンプルの16S解析で362 OTU、共焦点顕微鏡で局所密度5.4×10^10 cells/cm3。飼い主が日常的に煮沸・レンチンで除菌していたスポンジでは、RG2種の Moraxella osloensis と Chryseobacterium hominis の相対存在比が有意に高かった。この M. osloensis は花王 Kubota et al. 2012 (Appl Environ Microbiol) が洗濯物の生乾き臭の主要原因菌と同定した種と同一。論文の結論は除菌ではなく「週1回程度の交換」。不使用:M. osloensis の病原性(RG2)は稀な日和見感染で一般家庭のリスクを煽る根拠にならないため触れず/スポンジ由来の食中毒発生率は今回の論文に数値が無いため不使用。公開ポスト https://x.com/gude_aiai/status/2096399073653756415
https://x.com/YukiguniUchusen/status/2096061347792609352,2026-09-06,カプセルの薬は下を向いて飲むと飲みやすいという絵のバズ(@YukiguniUchusen 約67,505いいね/2026-09-05投稿・絵のみで理由・研究・錠剤との違いには一切触れず)→足した一次情報は(1)Medsafe(ニュージーランド医薬品・医療機器安全機構)"Helping Medicine Capsules Go Down": カプセルはゼラチン殻の中に空気を含むため水より軽く浮く("Capsules are lighter than water and float due to air trapped inside the gelatine shell")、対して錠剤は水より重く浮かない("tablets are heavier than water and do not float")。頭を後ろに倒す通常の飲み方だとカプセルは口の前方の水面に浮いて嚥下に解剖学的に不利な位置に留まる("it will float on the water in the front of the mouth, placing it in the anatomically incorrect location for ease of swallowing")、前傾させると口の奥へ浮いて飲み込みやすい位置に来る←今回の本文と動画cardsで使った核心。(2)Schiele JT et al. "Two Techniques to Make Swallowing Pills Easier" Ann Fam Med 2014;12(6):550-552 (PMC4226776): ドイツ一般成人151名(女性52.3%・平均45.8歳・18-85歳、55.6%が嚥下困難を自覚)の単盲検横断研究。カプセルのlean-forward technique(直立姿勢で頭を前に倒す)は88.6%(31/35)で著明改善、錠剤のpop-bottle method(舌に錠剤を載せPETボトルの口を唇で密閉し一気に吸い込む)は59.7%(169/283)で著明改善←88.6%の数字を本文で使用。著者結論は"should therefore be generally recommended"。※未使用の種: 錠剤のpop-bottle法59.7%という数字/喉の引っかかり感は錠剤で53.7%減・カプセルでは不快感が全員で消失/16種のプラセボ剤形を8段階リッカートで評価させる実験設計/日本薬学会はカプセル基剤をゼラチン(軟カプセルはグリセリンorソルビトール添加)と記載。公開ポスト https://x.com/gude_aiai/status/2096449623560700003
https://x.com/xqwooi/status/2096131510986575952,2026-09-06,"引用:「自分の唾液でむせる/段差のないところでつまずく/人の名前が出てこない/冷蔵庫を開けた瞬間に用事を忘れる…これが大人です」という加齢あるあるリストのバズ(@xqwooi みお｜限界看護師 30,186いいね/2026-09-05 07:01 UTC投稿・テキストのみ)。元投稿は症状の列挙のみで、なぜ平らな床でつまずくのかという機序・数値には一切触れていない。→足した一次情報:Killeen, Easthope, Demkó, Filli, Lőrincz, Linnebank, Curt, Zörner, Bolliger 2017, Scientific Reports「Minimum toe clearance: probing the neural control of locomotion」(DOI:10.1038/s41598-017-02189-y)。健常者121名のトレッドミル歩行で、遊脚期に足先が床へ最接近する点(MTC)の平均は15.0mm(中央値14.5mm/SD 4.0mm)、発生タイミングは遊脚期の57±3.6%。年齢群間に有意差はなく若年20-39歳15.1±0.5mm/中年40-59歳15.2±0.6mm/高齢60-80歳14.5±0.5mm。←今回の核心は「平らな床でも隙間は1.5cmしかない」「20代でも数字はほぼ同じ＝加齢固有ではない」の2点で、相手を否定せず“そりゃつまずく”を裏付ける形にした。さらに同論文は認知負荷(不一致ストループ課題)を課すと高齢群のMTCが12.7±0.5mmまで低下(若年群14.6±0.5mm)と報告しており、「考え事しながら歩くとさらに縮む」はこの結果に基づく。※未使用の種:同論文は「つまずきが高齢者の転倒の半数超を占める」とするが、転倒リスクを煽る形になるため本文では使わず/リストの他項目(唾液でむせる=嚥下反射の遅延、冷蔵庫の件=doorway effect)は、後者が2021年BMC Psychologyの非再現報告(Doorways do not always cause forgetting)があり一次情報として断定できないため不使用。公開ポスト https://x.com/gude_aiai/status/2096520717789528167"
https://x.com/nino_honmono/status/2096526810569928752,2026-09-06,掃除機の排気のにおいは気体分子で粒子フィルターを素通りする
https://x.com/Spinoff1204/status/2096029858937930155,2026-09-07,セルフ給油の「満タン」は本当の満タンではなく、オートストップ後の継ぎ足しは危険だというバズ(2,452いいね/2026-09-05 09:17 JST投稿・「カチッと止まる」「継ぎ足しは危険」までで、止まる機構・膨張の数値・キャニスターには一切触れていない)→足した一次情報:(1)←今回の核心はオートストップの機構で、これは満タンを検知しているのではない。ノズル先端の検知孔から常時空気が吸われており、液面が孔を塞ぐと管内が負圧になってレバーの支えが外れ、弁を開く力が失われて流量が止まる(乗りものニュース「セルフ給油『満タンで自動停止』どういう仕組み？」https://trafficnews.jp/post/126967 )。同記事はこの「満量停止制御装置」がセルフ解禁に伴い1998年(平成10年)に消防当局によって義務化されたと記述。(2)残る隙間はガソリンの熱膨張の逃げ場として意図された設計空間であり、ガソリンは油温が1℃上がるごとに体積が0.135%増加する(体膨張率0.00135)。給油量50Lで油温が10℃上昇すると0.675L=675mL増える(Motor Fan https://motor-fan.jp/article/1384486/ )。体膨張率0.00135はRIM「猛暑でガソリンが膨張!?」でも同値を確認(500kl×10度×0.00135=6.75kl)。(3)継ぎ足すと液ガソリンがチャコールキャニスターに流入し活性炭が目詰まりして機能を失う。交換は部品代1〜1.5万円+工賃2〜3万円(Motor Fan)。※元ネタの「本当の意味では満タンじゃない」は不足ではなく設計上の余白である点を上位版として訂正した。※未使用の種:危険物の規制に関する規則 第40条の3の10第二号が顧客用固定給油設備の「一回の給油量及び給油時間の上限」を適正な数値に設定するよう義務づけている(消防庁 https://www.fdma.go.jp/singi_kento/kento/items/post-136/01/sankou1-5.pdf )＝上限値の設定義務はあるが具体的数値基準は法令にない。公開ポスト https://x.com/gude_aiai/status/2096709232032727508
https://x.com/ArturGalata/status/2093844345908539709,2026-09-07,引用:「青信号・青リンゴ・青虫・青のり…全部緑やん」という体感の投稿(@ArturGalata 18,760いいね/2026-08-29)→日本語で語幹に「い」を付けるだけで形容詞になる色名は「しろ・くろ・あか・あお」の4語のみで「緑い」「黄い」とは言えず、これは緑・黄が後から作られた新しい語彙であることの証拠(浅野担当「日本の色彩」第2回「しろ」と「あお」「あか」と「くろ」-古代日本の色名 2022年度春学期 日本事情1 講義資料)/古代語の色名は白・黒・赤・青の4語で青が寒色域を包括していたため信号や青葉の用法が残る(同)/「みどり」は新芽・若葉の生命力に由来する語で、生まれたばかりの子を新芽にたとえて「みどりご」と呼んだ(語源由来辞典)/大宝令は隋唐の制にならい人の年齢を6級に分け、男女3歳以下を「緑児」と称した(養老令では「黄」に改称)。以下、少子16歳以下・少丁20歳以下・正丁男子21歳以上・老61歳以上・耆66歳以上(法務省「旧民法制定以前の成年年齢について(沿革)」)/本文未使用の種:ズワイガニの雌は初産卵の卵を約1年6か月抱卵し翌々年2〜3月に孵化、経産卵は約1年。産卵直後の橙色の卵は「アカコ」、約1年後の茶黒色は「クロコ」(水産研究・教育機構 日本海区水産研究所/京都府海洋センター)。ただし引用元の@kaeruZangyoは2026-09-03に引用済みのため不採用
https://x.com/jibansaigai/status/2096446415384039724,2026-09-07,"引用:「八ヶ岳韮崎が別格にでかいです。さすがは日本最大規模の岩屑流。美しい地形の成り立ちがダイナミックすぎる。」という地形バズ(@jibansaigai 4,642いいね/2026-09-06 03:52 UTC投稿・画像付きだが「日本最大規模」「ダイナミック」という体感の形容のみで、規模の数値・比較対象・現在の地形との対応には一切触れていない)→足した一次情報:(1)井口隆1989「八ヶ岳火山における山体崩壊と岩屑流」国立防災科学技術センター研究報告 第43号 https://dil-opac.bosai.go.jp/publication/nrcdp/nrcdp_report/PDF/43/43inokuchi.pdf ：韮崎岩屑流の南麓分布面積256km2(総分布面積300km2以上と推定)、韮崎より上流側の堆積土量9km3(総堆積量12〜15km3の可能性)、最大層厚200m、延長21km以上(総延長40km以上と推定)。流れ山は約100個、平均径200〜300m・高さ10〜50m・最大径500m、分布標高は主に600〜500m。三村ら(1982)の残留磁気測定で大規模な山体崩壊起源と確定。←本文の「9km3」「丘が百個」と動画barsの核心。(2)比較対象:産総研 地質調査総合センター「磐梯山 - 1888年噴火とその堆積物 -」 https://gbank.gsj.jp/volcano/Act_Vol/bandaisan/page3_20.html ：1888年磐梯山の岩屑なだれはNakamura(1978)が分布総面積34km2・総量1.5km3と見積もり(崩壊山体は噴火直後の測量で約1.2km3、後年の地形復元で0.8〜0.5km3)。9km3÷1.5km3で「約6倍」と保守的に表現した(弁護士永野海のページは『磐梯山の10倍近い』とするが、総堆積量12〜15km3を採った場合の値なので、確実な下限である6倍を採用)。(3)七里岩台地(Wikipedia)：約20万年前の八ヶ岳山体崩壊による岩屑流堆積面が西の釜無川・東の塩川に侵食されて残った台地で、南北30km(約7里)・断崖の高さ10〜40m。中央本線と中央自動車道は韮崎市を過ぎるとこの台地へ登る←フックに使用。台地上に新府城・谷戸城・能見城。※未使用の種:等価摩擦係数H/L(一般値0.08、韮崎の具体値は当該報告に記載なし)/崩壊前の八ヶ岳は標高3000mを優に超えたとの推定(naganokai.com、一次情報でないため不使用)/最大層厚200mと分布面積256km2は本文の字数上入らず/流れ山の最大径500m・分布標高600〜500m。※医療・法律・金銭に触れないネタ。災害の当事者性が必要な話題を避けるため、現在の防災リスクには一切言及していない。公開ポスト https://x.com/gude_aiai/status/2096811946821505083"
https://x.com/SAKANAICHIRO/status/2096691321822175705,2026-09-07,"引用:「突然漏電でブレーカーが落ちた。原因はテラスの電気で、その回線が冷蔵庫と同じところにつながっていて冷蔵庫まで使えない」という深夜のトラブル投稿(@SAKANAICHIRO 山口一郎 49,497いいね/2026-09-06 20:05 UTC・テキストのみ・引用なし。出来事の記述のみで、漏電遮断器がなぜ30mAで切れるのかには一切触れていない)→足した一次情報:(1)JIS C 0365:2007「感電保護-設備及び機器の共通事項」(IEC 60364-4-41準拠) https://kikakurui.com/c0/C0365-2007-01.html ：知覚閾値は交流0.5mA以下、痛覚閾値は交流3.5mA(5.1.6)。4.3注記で「追加感電保護として定格感度電流30mA以下の漏電遮断器の使用を認める」。5.1.6で心室細動の閾値はIEC 60479-1参照と明記。(2)「技能と技術」誌310号(2022年4号/職業能力開発総合大学校 JEED) https://www.tetras.uitec.jeed.go.jp/files/ginou_gijutu/e-book/202204/pageindices/index8.html ：心室細動電流(IEC 60479-1のAC-4領域)は通電10msで500mA、500msで100mA、1sで50mA、10sで40mA程度。←本文の「1秒流れて危ないのが50mA」の出典。(3)Panasonic 電気設備の基礎知識「漏電ブレーカー」 https://www2.panasonic.biz/jp/basics/electric/breakers/earth-leakage-breaker/ ：高感度高速形は感度電流30mA以下・動作時間0.1秒以内(JIS C 8201-2-2)。感度電流の選定例は15/30/100/200/500mA、時延形は0.3〜0.8秒。※未使用の種:零相変流器で行きと帰りの電流差を検出する原理/屋外照明は雨で絶縁抵抗が落ちて漏電しやすい(電気保安協会の事例記事どまりで一次情報を確定できず不使用)/冷蔵庫を延長コードで取ることへの注意喚起は「相手の否定」になるため意図的に不使用。※相手を否定せず、数字だけを足す形にした。公開ポスト https://x.com/gude_aiai/status/2096883208398786717"
"https://x.com/joshinishiguchi/status/2096823074821968087,2026-09-07,「意外と知られてない話。メトロポリタン美術館は40万点以上のアート作品画像を無料でダウンロードできる上に商用利用までOK」というデザイン素材紹介のバズ(@joshinishiguchi 4,858いいね/2026-09-07 13:49 JST投稿)。元投稿は既に「クレジット表記も不要(CC0)」「申請や許可も一切いらない」まで書いており、CC0・無料・商用可の3点では上位版が作れないと判断。触れられていない前史と実数で差をつけた。→足した一次情報:(1)The Met公式プレスリリース「The Met Makes Its Images of Public-Domain Artworks Freely Available through New Open Access Policy」https://www.metmuseum.org/press-releases/open-access-2017-news ：オープンアクセス開始日は2017年2月7日、公開点数は37万5千点超、ライセンスはCreative Commons Zero(CC0)。現在の点数は公式Open Accessページ https://www.metmuseum.org/about-the-met/policies-and-documents/open-access が「Over 492,000 public-domain artworks」と記載＝元ネタの「40万点以上」より約9万点多い(本文では49万点を採用)。(2)←今回の核心: 先行はアムステルダム国立美術館。Peter Gorgels(Rijksmuseum インターネットマネージャー)”Rijksstudio: Make Your Own Masterpiece!” Museums and the Web 2013 https://mw2013.museumsandtheweb.com/paper/rijksstudio-make-your-own-masterpiece/index.html ：Rijksstudioの公開は2012年10月30日、所蔵12万5千点を2500×2500px/300dpiの高解像度でウォーターマークなし・共有制限なし・copyright-freeで開放。Metの2017年2月7日より4年3か月早い。本文は保守的に「4年早い」とした。※未使用の種:Rijksstudio公開後3か月で32,000のポートフォリオが作成され112,000点がDL、サイト滞在時間が平均3分→10分、来館者数34%増(同論文)/Metは画像だけでなく全所蔵品の基本データもCC0で出しGitHub(metmuseum/openaccess)にCSVを置いている/Met公式APIはAPIキー不要。※CC0の適用範囲はパブリックドメイン作品に限られる点は、著作権の助言に踏み込むため本文では触れず、事実紹介に留めた。動画propはcardsでアムステルダム2012とニューヨーク2017を並置。公開ポスト https://x.com/gude_aiai/status/2096931837436174358"
https://x.com/yu_san_logs/status/2096753564496330893,2026-09-08,"引用:「電車の運転士の指差し確認。目で見るだけだと脳は『見たつもり』で通す。指差して声を出せば目と手と口の三人がかりの検品になる」という工場のベテランの話（@yu_san_logs／13,662いいね／09-07 09:13投稿／テキストのみ）。足した一次情報＝鉄道総研の効果検定実験の誤り率（何もしない2.38%／呼称のみ1.0%／指差しのみ0.75%／指差呼称0.38%＝約1/6。芳賀繁ほか「『指差呼称』のエラー防止効果の室内実験による検証」産業・組織心理学研究1996年9巻2号107-114）と、起源が明治末の神戸鉄道管理局で、目が悪くなった機関手・堀八十吉が機関助手に信号確認を繰り返していたのを幹部が制度化し『機関車乗務員教範』(大正2年7月)に明文化されたこと。JR西日本の2007年追試(森本克彦・久保田敏裕、駅社員30名)でも0.10%→0.02%で同傾向。※データ上は指差しのみ0.75%が呼称のみ1.0%より良いが、元投稿の三要素説を否定しない形で並置した。公開ポスト https://x.com/gude_aiai/status/2097124279024263443"
https://x.com/comori_uta/status/2097103084896014747,2026-09-08,"引用:「ねこ、『ニンゲンおきておきておきて（朝4時）』『何………？水？ごはん？トイレ？』『ニンゲンが起きてたら嬉しいから起こした』みたいな生き物なので諦められる人だけ飼ってほしい」（@comori_uta／43,150いいね／2026-09-07 23:21 UTC＝09-08 08:21 JST・約9時間前・テキストのみ・引用なし・返信なし）。元投稿は猫の行動の描写のみで、その声がなぜ人間に効くのかには一切触れていない。→足した一次情報＝McComb K, Taylor AM, Wilson C, Charlton BD.「The cry embedded within the purr」Current Biology 2009;19(13):R507-R508 https://www.cell.com/current-biology/fulltext/S0960-9822(09)01168-3 ：猫が人間に要求するときのpurr(solicitation purr)には220〜520Hz(平均380Hz)の有声ピークが埋め込まれており、これは人間の乳児の泣き声と同じ帯域。通常のゴロゴロの基本周波数は約27Hz。猫10頭の録音を50人に聴かせたところ、飼育経験の有無に関わらずsolicitation purrのほうが「切迫している・不快である」と有意に評価された(飼い主 t29=18.05, p<0.0005／非飼い主 t19=8.22, p<0.0005)。有声ピークの高さが切迫感・不快感の強さと有意に相関。※未使用の種:猫は薄明薄暮性(crepuscular)で明け方と夕方に活動ピーク／2023年 Current Biology のネコ喉頭研究(神経入力なしでもpurr周波数を発生できる)。※元投稿は「猫は食べ物をねだっていたわけではない」としているため、本文では動機を断定せず「要求のときの声」という表現に留め、相手の記述を一切否定していない。公開ポスト https://x.com/gude_aiai/status/2097245257318408321"
https://x.com/bushidoh_sb/status/2096839944149115011,2026-09-09,"「四国の城調べてたら全然戦いに向いてなさそうな城でてきた。昼寝城。」という城の名前バズ(6,378いいね/2026-09-07 14:56 JST投稿・画像のみで、名前の印象を述べるだけで由来・歴史・数値には一切触れていない)→上位版の軸は「名前の印象と実態が真逆」。足した一次情報:(1)香川県教育委員会「香川県の中世城館〜讃岐武士の足跡をたずねて〜」https://www.pref.kagawa.lg.jp/documents/15239/28-2busi.pdf ：寒川氏は「四国一の堅城と言われた昼寝城」を本拠とし虎丸城・引田攀山城を支城とした。掲載の縄張図には「長宗我部による改変が著しい」の注記、大堀切・櫓台・主郭(山頂)を図示。元亀3年(1572)三好長治により寒川元政は昼寝城へ移り三好方の安富肥前守盛方預りとなる。(2)攻城団 https://kojodan.jp/castle/2043/ ：名前の由来は「昼寝をしていても敵に攻め落とされない」(諸説あり)。標高460m/比高220m。1540年に安富盛方、1570年に三好長治が攻めたがいずれも落城せず。土塁・堀切が現存。(3)さぬき市「指定文化財の概要」(Wikipedia経由)：嘉吉年間(1441-1444)築城、築城主は寒川光治と伝わる。矢筈山中腹の俗称昼寝山山頂に西100㎡・東200㎡の2つの平坦地、幅約2mの道で結ばれ馬場と伝わる。土塁とみられる遺構、西側隅に寒川社(寒川さん)の祠。大永3年(1523)塩ノ木合戦、大永6年(1526)三好氏の兵糧攻めにも落城せず。(4)城郭放浪記 https://www.hb.pei.jp/shiro/sanuki/hirune-jyo/ ：元亀元年(1570)虎丸城を奪われ昼寝城へ退くも三好氏の二度の攻撃に耐えた。遺構は土塁・郭・堀。←動画cardsで「1540年 安富氏=落ちず / 1570年 三好氏=落ちず」を並置。※未使用の種:標高460m・比高220mの数値/山頂平坦地の面積(西100㎡・東200㎡)/寒川氏は仁明天皇の頃に讃岐朝臣の姓を賜った代々の寒川郡司/寒川元政は永禄5年(1562)教興寺の戦いに三好長慶方で参陣/長宗我部による改修で現在の縄張は戦国末期の姿。※由来は「諸説あり」とされるため本文でも断定を避け「由来は逆で」という形に留めた。公開ポスト https://x.com/gude_aiai/status/2097434012843205102"
https://x.com/segavva_/status/2096943827563196513,2026-09-09,"引用:『酔っ払ったらどうなるのー？笑』蟹『え〜、前に歩いちゃう笑』というネタ投稿(@segavva_／71,158いいね／2026-09-07 12:49 UTC＝09-07 21:49 JST投稿・テキストのみ・画像なし・引用なし・返信なし)。元投稿はカニが横歩きする前提の言葉遊びのみで、前に歩くカニの実在にも横歩きの理由にも一切触れていない。→足した一次情報＝(1)ミナミコメツキガニ(Mictyris)は前に歩くカニ。『潮が引いた干潟の上で大きな群れをつくり、足で体をかつぎ上げたような高い姿勢でゾロゾロと歩き回ります』『前に歩くのが特徴』(奄美・生物多様性『どんな生き物がいるんだろう！』マングローブ編 http://amami-ikimono.eepc.jp/illustrated_guide/mangrove/animal/80/index.html )。分布は種子島以南の南西諸島から台湾・香港・フィリピン。集団で前進する様が軍隊の隊列に例えられる(Wikipedia)。(2)潜砂行動＝『脚で砂泥をかきながら、自分の体をねじのように回転させ、砂泥にすばやくねじ込む』(同)。(3)横歩きの理由＝脚の節の幅が広く人間の肘のように一方向にしか曲がらず、その脚が根元を接して4対並ぶ上に大きなハサミがあるため前進できず、自然に横向きに歩く(サカナト https://sakanato.jp/8641/ )。(4)例外は他にも。クモガニ類・コブシガニ類は脚が細く付け根に余裕があり甲羅が角ばっていないため前に歩ける。アサヒガニ(Ranina ranina)・カラッパ類はハサミ等が邪魔で横に歩けず前後に動く＝『一般的に短尾類が横歩きするのに対して前後に動く』(鳥羽水族館 生きもの図鑑 https://aquarium.co.jp/picturebook/ranina-ranina.html 、水深20〜50mの砂地、相模湾〜九州・沖縄)。※未使用の種:アサヒガニの分布(アフリカ東岸・ハワイ・NZ・豪)／ミナミコメツキガニの脚は甲幅より長い／前進の機構自体は未解明とする資料もある。※元投稿はネタなので否定せず『シラフでも前に歩くカニがいる』と並置する形にした。公開ポスト https://x.com/gude_aiai/status/2097486920980795441"
